slug,locale,primary_text,headline_price,headline_place,description,cta,link
"alisios-residences","en","34 apartments and penthouses in Marbella's Guadalmina Golf Valley, moments from San Pedro and Puerto Banús.","From €690,000","Golf Valley, Guadalmina Golf","From,€690,000","LEARN_MORE","https://nuevaliving.com/property-alisios-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=en-san-pedro-alcantara&utm_content=alisios-residences"
"alisios-residences","es","34 apartamentos y áticos en el Valle del Golf de Guadalmina, Marbella, a un paso de San Pedro y Puerto Banús.","Desde 690.000 €","Golf Valley, Guadalmina Golf","From,€690,000","LEARN_MORE","https://nuevaliving.com/es/property-alisios-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=es-san-pedro-alcantara&utm_content=alisios-residences"
"alisios-residences","fr","34 appartements et penthouses dans la Guadalmina Golf Valley à Marbella, à quelques minutes de San Pedro et de Puerto Banús.","À partir de 690 000 €","Golf Valley, Guadalmina Golf","From,€690,000","LEARN_MORE","https://nuevaliving.com/fr/property-alisios-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=fr-san-pedro-alcantara&utm_content=alisios-residences"
"alisios-residences","de","34 Wohnungen und Penthäuser im Guadalmina Golf Valley in Marbella, nur wenige Minuten von San Pedro und Puerto Banús entfernt.","Ab 690.000 €","Golf Valley, Guadalmina Golf","From,€690,000","LEARN_MORE","https://nuevaliving.com/de/property-alisios-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=de-san-pedro-alcantara&utm_content=alisios-residences"
"alisios-residences","ru","34 апартамента и пентхауса в долине для гольфа Гуадальмина в Марбелье, в нескольких минутах от Сан-Педро и Пуэрто-Бануса.","От 690 000 €","Golf Valley, Guadalmina Golf","From,€690,000","LEARN_MORE","https://nuevaliving.com/ru/property-alisios-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ru-san-pedro-alcantara&utm_content=alisios-residences"
"alisios-residences","ar","34 شقة وبنتهاوس في وادي غولف غوادالمينا بماربيا، على بعد دقائق من سان بيدرو وبويرتو بانوس.","ابتداءً من 690,000 €","Golf Valley، Guadalmina Golf","From,€690,000","LEARN_MORE","https://nuevaliving.com/ar/property-alisios-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ar-san-pedro-alcantara&utm_content=alisios-residences"
"alisios-residences","nl","34 appartementen en penthouses in de Guadalmina Golf Valley van Marbella, vlak bij San Pedro en Puerto Banús.","Vanaf € 690.000","Golf Valley, Guadalmina Golf","From,€690,000","LEARN_MORE","https://nuevaliving.com/nl/property-alisios-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=nl-san-pedro-alcantara&utm_content=alisios-residences"
"alisios-residences","pl","34 apartamenty i penthouse'y w Guadalmina Golf Valley w Marbelli, blisko San Pedro i Puerto Banús.","Od 690 000 €","Golf Valley, Guadalmina Golf","From,€690,000","LEARN_MORE","https://nuevaliving.com/pl/property-alisios-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=pl-san-pedro-alcantara&utm_content=alisios-residences"
"alisios-residences","no","34 leiligheter og takleiligheter i Marbellas Guadalmina Golf Valley, et steinkast fra San Pedro og Puerto Banús.","Fra 690 000 €","Golf Valley, Guadalmina Golf","From,€690,000","LEARN_MORE","https://nuevaliving.com/no/property-alisios-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=no-san-pedro-alcantara&utm_content=alisios-residences"
"alisios-residences","sv","34 lägenheter och takvåningar i Marbellas Guadalmina Golf Valley, ett stenkast från San Pedro och Puerto Banús.","Från 690 000 €","Golf Valley, Guadalmina Golf","From,€690,000","LEARN_MORE","https://nuevaliving.com/sv/property-alisios-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sv-san-pedro-alcantara&utm_content=alisios-residences"
"altos-de-marbella","en","A small collection of elevated homes with open terraces, sea views and a quieter coastal setting.","From €1,050,000","Marbella East — Elevated Coastline","From,€1,050,000","LEARN_MORE","https://nuevaliving.com/property-altos-de-marbella.html?utm_source=meta&utm_medium=paid_social&utm_campaign=en-marbella&utm_content=altos-de-marbella"
"altos-de-marbella","es","Una pequeña colección de viviendas elevadas con terrazas abiertas, vistas al mar y un entorno costero más tranquilo.","Desde 1.050.000 €","Sea View, Marbella Este — Costa Elevada","From,€1,050,000","LEARN_MORE","https://nuevaliving.com/es/property-altos-de-marbella.html?utm_source=meta&utm_medium=paid_social&utm_campaign=es-marbella&utm_content=altos-de-marbella"
"altos-de-marbella","fr","Une petite collection de résidences en hauteur avec terrasses ouvertes, vue sur mer et un cadre côtier plus paisible.","À partir de 1 050 000 €","Marbella Est — Littoral Surélevé","From,€1,050,000","LEARN_MORE","https://nuevaliving.com/fr/property-altos-de-marbella.html?utm_source=meta&utm_medium=paid_social&utm_campaign=fr-marbella&utm_content=altos-de-marbella"
"altos-de-marbella","de","Eine kleine Auswahl erhöht gelegener Wohnungen mit offenen Terrassen, Meerblick und einer ruhigeren Küstenlage.","Ab 1.050.000 €","Marbella Ost — Erhöhte Küstenlage","From,€1,050,000","LEARN_MORE","https://nuevaliving.com/de/property-altos-de-marbella.html?utm_source=meta&utm_medium=paid_social&utm_campaign=de-marbella&utm_content=altos-de-marbella"
"altos-de-marbella","ru","Небольшая коллекция резиденций на возвышенности с открытыми террасами, видом на море и более спокойной прибрежной атмосферой.","От 1 050 000 €","Sea View","From,€1,050,000","LEARN_MORE","https://nuevaliving.com/ru/property-altos-de-marbella.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ru-marbella&utm_content=altos-de-marbella"
"altos-de-marbella","ar","مجموعة صغيرة من المنازل المرتفعة ذات الشرفات المفتوحة وإطلالات على البحر في موقع ساحلي أكثر هدوءًا.","ابتداءً من 1,050,000 €","Sea View، شرق ماربيا — الساحل المرتفع","From,€1,050,000","LEARN_MORE","https://nuevaliving.com/ar/property-altos-de-marbella.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ar-marbella&utm_content=altos-de-marbella"
"altos-de-marbella","nl","Een kleine collectie hooggelegen woningen met open terrassen, zeezicht en een rustigere kustomgeving.","Vanaf € 1.050.000","Marbella Este — Hooggelegen Kust","From,€1,050,000","LEARN_MORE","https://nuevaliving.com/nl/property-altos-de-marbella.html?utm_source=meta&utm_medium=paid_social&utm_campaign=nl-marbella&utm_content=altos-de-marbella"
"altos-de-marbella","pl","Niewielka kolekcja wyniesionych rezydencji z otwartymi tarasami, widokiem na morze i spokojniejszym nadmorskim otoczeniem.","Od 1 050 000 €","Marbella Este — wyniesione wybrzeże","From,€1,050,000","LEARN_MORE","https://nuevaliving.com/pl/property-altos-de-marbella.html?utm_source=meta&utm_medium=paid_social&utm_campaign=pl-marbella&utm_content=altos-de-marbella"
"altos-de-marbella","no","En liten samling høytliggende boliger med åpne terrasser, havutsikt og roligere kystomgivelser.","Fra 1 050 000 €","Marbella Este — Høytliggende Kyst","From,€1,050,000","LEARN_MORE","https://nuevaliving.com/no/property-altos-de-marbella.html?utm_source=meta&utm_medium=paid_social&utm_campaign=no-marbella&utm_content=altos-de-marbella"
"altos-de-marbella","sv","En liten samling högt belägna bostäder med öppna terrasser, havsutsikt och en lugnare kustmiljö.","Från 1 050 000 €","Marbella Este — Högt Belägen Kust","From,€1,050,000","LEARN_MORE","https://nuevaliving.com/sv/property-altos-de-marbella.html?utm_source=meta&utm_medium=paid_social&utm_campaign=sv-marbella&utm_content=altos-de-marbella"
"atalaya-duplex-residences","en","Forty duplex apartments and penthouses beside Atalaya Golf, most with a private pool, in a gated scheme with an indoor pool, spa, gym and padel court.","From EUR 829,000","Apartments, Atalaya","From,EUR 829,000","LEARN_MORE","https://nuevaliving.com/property-atalaya-duplex-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=en-estepona&utm_content=atalaya-duplex-residences"
"atalaya-duplex-residences","es","Cuarenta dúplex y áticos junto al golf de Atalaya, con piscina privada en la mayoría, en un conjunto cerrado con piscina interior, spa, gimnasio y pista de pádel.","Desde 829.000 €","Apartamentos, Atalaya","Desde,829.000 €","LEARN_MORE","https://nuevaliving.com/es/property-atalaya-duplex-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=es-estepona&utm_content=atalaya-duplex-residences"
"atalaya-duplex-residences","fr","Quarante duplex et penthouses au bord du golf d'Atalaya, pour la plupart avec piscine privée, dans une résidence fermée avec piscine intérieure, spa, salle de sport et terrain de padel.","À partir de 829 000 €","Appartements, Atalaya","À partir de,829 000 €","LEARN_MORE","https://nuevaliving.com/fr/property-atalaya-duplex-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=fr-estepona&utm_content=atalaya-duplex-residences"
"atalaya-duplex-residences","de","Vierzig Maisonette-Wohnungen und Penthäuser neben dem Golfplatz Atalaya, überwiegend mit eigenem Pool, in einer geschlossenen Anlage mit Innenpool, Spa, Fitnessraum und Padelplatz.","Ab 829.000 €","Wohnungen, Atalaya","Ab,829.000 €","LEARN_MORE","https://nuevaliving.com/de/property-atalaya-duplex-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=de-estepona&utm_content=atalaya-duplex-residences"
"atalaya-duplex-residences","ru","Сорок дуплексов и пентхаусов рядом с полем Atalaya, у большинства с собственным бассейном, в закрытом комплексе с крытым бассейном, спа, тренажёрным залом и кортом для падела.","От 829 000 €","Апартаменты, Аталайя","От,829 000 €","LEARN_MORE","https://nuevaliving.com/ru/property-atalaya-duplex-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ru-estepona&utm_content=atalaya-duplex-residences"
"atalaya-duplex-residences","ar","أربعون شقة دوبلكس وبنتهاوس بجوار ملعب أتالايا للغولف، لمعظمها مسبح خاص، ضمن مجمع مغلق فيه مسبح داخلي وسبا وصالة رياضية وملعب بادل.","ابتداءً من 829,000 €","شقق، أتالايا","ابتداءً من,829,000 €","LEARN_MORE","https://nuevaliving.com/ar/property-atalaya-duplex-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=ar-estepona&utm_content=atalaya-duplex-residences"
"atalaya-duplex-residences","nl","Veertig duplexwoningen en penthouses naast Atalaya Golf, bij de meeste met een eigen zwembad, in een besloten complex met binnenzwembad, spa, fitnessruimte en padelbaan.","Vanaf € 829.000","Appartementen, Atalaya","Vanaf,€ 829.000","LEARN_MORE","https://nuevaliving.com/nl/property-atalaya-duplex-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=nl-estepona&utm_content=atalaya-duplex-residences"
"atalaya-duplex-residences","pl","Czterdzieści mieszkań dwupoziomowych i penthouse'ów przy polu Atalaya, w większości z własnym basenem, w zamkniętym osiedlu z basenem krytym, spa, siłownią i kortem do padla.","Od 829 000 €","Apartamenty, Atalaya","Od,829 000 €","LEARN_MORE","https://nuevaliving.com/pl/property-atalaya-duplex-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=pl-estepona&utm_content=atalaya-duplex-residences"
"atalaya-duplex-residences","no","Førti toetasjes leiligheter og toppleiligheter ved siden av Atalaya Golf, de fleste med eget basseng, i et lukket anlegg med innendørsbasseng, spa, treningsrom og padelbane.","Fra 829 000 €","Leiligheter, Atalaya","Fra,829 000 €","LEARN_MORE","https://nuevaliving.com/no/property-atalaya-duplex-residences.html?utm_source=meta&utm_medium=paid_social&utm_campaign=no-estepona&utm_content=atalaya-duplex-residences"
